year,year,GDP growth (annual %),Inflation_GDP deflator (annual %),Agriculture_value added (% of GDP),Industry_value added (% of GDP),Services_value added (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Revenue_excluding grants (% of GDP),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),Net migration,GDP per capita (current US$),Inflation_consumer prices (annual %)
1990,1990,1.919370297,3.699156703,0,0,0,9.229296529,10.53130909,21.46999401,18.15576288,51.73346362,5.120251576,2.075802366,32.52996733,15.22812019,102.7027027,0,23954.47935,5.39795644
1991,1991,-0.074084531,3.328513079,0,0,0,9.636019704,10.09949234,20.05874757,18.08458412,67.37230693,4.539845285,2.939643902,32.40150439,15.06456952,103.6697248,0,24405.16481,4.234963965
1992,1992,3.555396148,2.279550581,0,0,0,9.680747126,10.21199673,20.01939046,17.59714612,69.5157692,4.666264687,4.249049037,32.56328763,15.32405844,103.6036036,4516808,25492.95165,3.028819678
1993,1993,2.745856719,2.379261482,0,0,0,9.519215645,10.46668871,20.33390379,17.99274225,76.33805645,4.326925453,6.103716586,31.4651345,15.52921635,103.8461538,0,26464.85251,2.951656966
1994,1994,4.037643425,2.128132874,0,0,0,9.864046613,11.12946049,21.21640553,18.20351072,70.2956914,3.941286854,9.104921407,30.99909101,16.44386766,104.6728972,0,27776.63553,2.607441592
1995,1995,2.718975789,2.085676645,0,0,0,10.60551457,11.77666928,21.20499448,18.72088684,90.70944121,3.63848926,12.6047249,30.30063758,17.68768773,105.1282051,0,28782.17502,2.805419689
1996,1996,3.795881229,1.825553431,0,0,0,10.71072187,11.90051951,21.629225,18.88879054,104.6948958,3.350744012,16.23815248,30.75878968,17.86496409,103.4482759,0,30068.23092,2.9312042
1997,1997,4.487026493,1.711503645,1.382525903,23.94726353,74.67021057,11.07979715,12.26432201,22.36306727,19.34607769,125.1103471,3.209903218,20.14238484,31.72874829,18.44919826,103.7037037,8612074,31572.69023,2.337689937
1998,1998,4.449910963,1.085256199,1.256535233,23.41509526,75.32836951,10.48479905,12.2749409,22.84840593,19.77122659,142.1756095,3.017635938,24.89063952,33.21589023,17.89482822,104.8543689,0,32949.19776,1.552279099
1999,1999,4.685199608,1.530321885,1.190550642,23.26302222,75.54642714,10.26828081,12.92474482,23.31795337,19.72181093,152.9651439,2.908393909,30.57610298,34.25823054,18.16898163,104.950495,0,34620.9289,2.188027197
2000,2000,4.092176449,2.275519805,1.189219338,23.15624289,75.65453777,10.66464335,14.3185381,23.5689255,20.50846207,146.8942697,2.933432016,38.46809105,33.78761058,19.8469797,100,0,36449.85512,3.376857271
2001,2001,0.975981834,2.278900887,1.164848337,22.13450944,76.70064222,9.666070536,13.13706572,22.05149134,19.43711363,131.6503267,2.944343646,44.69057874,32.5915242,17.9656526,102.7989817,0,37273.6181,2.826171119
2002,2002,1.786127687,1.535124592,1.002199564,21.27075325,77.72704718,9.13238644,13.01727331,21.57652179,17.31575109,100.7006687,3.249551766,48.85103822,31.75945204,17.24737495,104.3580461,5206538,38166.03784,1.586031627
2003,2003,2.806775956,1.994056263,1.168204218,21.38254862,77.44924716,9.037519102,13.41306805,21.6599668,16.70044402,123.9394896,3.607287847,54.84681409,30.82052135,17.61688069,102.9774976,0,39677.19835,2.270094973
2004,2004,3.78574285,2.749721159,1.294525739,21.66340561,77.04206865,9.625368067,14.66955244,22.52672684,16.76459528,132.9842939,3.785570066,62.54719598,30.27626713,19.06776968,100.7303294,0,41921.80976,2.677236693
2005,2005,3.345216063,3.21763825,1.17902686,21.93348557,76.88748757,9.996398275,15.50426517,23.22295273,17.85015205,129.8397757,3.844230435,68.31769507,29.90198855,20.11488556,97.29906209,0,44307.92058,3.392746845
2006,2006,2.666625826,3.072266625,1.057632754,22.33654257,76.60582467,10.65479167,16.21883058,23.33301482,18.573151,141.2321787,3.808200528,76.29353842,30.05699929,21.24760246,95.95419253,0,46437.06712,3.225944101
2007,2007,1.77857024,2.661336394,1.086915319,22.15690316,76.75618153,11.49790694,16.46102419,22.35135297,18.65066359,137.6072806,3.847044079,82.06414479,27.2226646,21.88618514,96.5623271,5033689,48061.53766,2.852672482
2008,2008,-0.291621459,1.961612383,1.152771009,21.64892218,77.19830681,12.51439847,17.42701165,20.78624354,17.77063171,78.74588585,4.220046469,85.20916517,25.92033217,23.48683521,91.81228916,0,48401.42734,3.839100297
2009,2009,-2.775529574,0.759434764,1.05626864,20.215854,78.72787736,11.01165643,13.75417087,17.512933,15.72761668,104.5672977,4.636792441,88.62364611,21.48768979,18.45749965,98.95366076,0,47001.55535,-0.355546266
2010,2010,2.531920616,1.221349397,1.174091393,20.39070263,78.43520598,12.37830094,15.80415135,18.39459751,16.49549343,115.4973405,4.665615102,91.31165202,19.96801385,21.70274102,97.10833424,0,48373.87882,1.640043442
2011,2011,1.601454672,2.064627467,1.366778271,20.62965554,78.00356619,13.57379201,17.31137267,18.54475592,16.72937479,100.7912207,4.583975977,94.44042596,18.10568304,24.15614036,94.74950163,0,49790.66548,3.156841569
2012,2012,2.224030854,1.842051483,1.241406556,20.54390932,78.21468412,13.6066085,17.10801903,19.35060635,16.84558987,115.5557941,4.238744607,96.01037609,17.77688509,24.03073811,94.68727014,4500000,51450.1223,2.069337265
2013,2013,1.67733153,1.615007088,1.426344348,20.7208741,77.85278156,13.63931151,16.58694653,19.76226007,18.97311071,143.9944226,3.832509651,97.07773939,17.81869687,23.41700158,95.37239643,0,52787.02695,1.464832656
2014,2014,2.370457671,1.790351672,1.251786208,20.86735896,77.88085483,13.64706459,16.57643837,20.18477094,19.08393229,151.3852312,3.506642834,110.2041935,18.22938292,23.18780567,95.71643533,0,54598.55069,1.622222977
2015,2015,2.861587025,1.284972955,1.052210839,20.02727417,78.92051499,12.49904391,15.39099398,20.42799748,19.15352784,138.336379,3.289106814,117.5867444,18.99152452,21.06911148,96.96738446,0,56469.00897,0.118627136
2016,2016,1.485279193,1.275800039,0,0,0,11.89062242,14.68929997,19.68878586,18.69559276,146.8615933,3.281630451,127.1579358,19.96175562,19.87258476,100.1588208,0,57638.15909,1.261583206
2017,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
